sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,delta_mu,n1_prop
900,0.05,1.9999999999999998e-4,5.231483637805968e-4,20,1.1697953037312032e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1000,0.05,4.9999999999999996e-5,2.2360679774997895e-4,20,4.9999999999999996e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1100,0.05,9.999999999999999e-5,3.0779350562554615e-4,20,6.882472016116851e-5,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
900,0.1,0.0028,0.001908430051942668,20,4.26737932644726e-4,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1000,0.1,0.00645,0.005355518550744495,20,0.0011975303534225849,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1100,0.1,0.0171,0.009335275487153693,20,0.0020874310577963123,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
900,0.15,0.319,0.047228448161986784,20,0.010560602056202744,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1000,0.15,0.4764,0.060241094559148,20,0.013470318247324765,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1100,0.15,0.5583,0.05455861165080319,20,0.012199676440920794,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
900,0.18,0.7542,0.04711531207133142,20,0.010535304057261347,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1000,0.18,0.84675,0.03701617711786366,20,0.00827706883027154,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1100,0.18,0.909,0.035170262558318385,20,0.007864309786691557,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
900,0.2,0.9105,0.01889722898093513,20,0.0042255488587750025,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1000,0.2,0.9569,0.01500841869015344,20,0.0033559844425961444,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
1100,0.2,0.97915,0.006158220864058579,20,0.0013770200472492473,CpG,Continuous (rho; Pearson correlation),CpG_20M,20000000,1000,NA,NA
900,0.05,9.999999999999999e-5,3.077935056255461e-4,20,6.88247201611685e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1000,0.05,1.5000000000000001e-4,3.6634754853252343e-4,20,8.191780219091257e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1100,0.05,4.999999999999999e-5,2.2360679774997892e-4,20,4.999999999999999e-5,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
900,0.1,0.0051,0.00427846504694087,20,9.566938684316613e-4,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1000,0.1,0.00835,0.005593934685278145,20,0.0012508418217975824,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1100,0.1,0.0175,0.008500773958572056,20,0.0019008308432727097,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
900,0.15,0.3782,0.04989420386124393,20,0.01115668315169739,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1000,0.15,0.51825,0.04273526215643175,20,0.009555895121805564,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1100,0.15,0.58505,0.04641287820376898,20,0.010378235069504577,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
900,0.18,0.7817500000000001,0.03206879939656054,20,0.0071708015407513604,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1000,0.18,0.8557,0.030999320875413426,20,0.006931658873375271,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1100,0.18,0.9119,0.021230315960660457,20,0.004747242967183553,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
900,0.2,0.9146000000000001,0.02102980341275085,20,0.004702406998436797,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1000,0.2,0.9583999999999999,0.01621370440480261,20,0.0036254945216226404,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
1100,0.2,0.98095,0.0077627653781232875,20,0.0017358071078865528,CpG,Continuous (rho; Pearson correlation),CpG_15M,15000000,1000,NA,NA
900,NA,0.4617,0.013715530958504083,20,0.0030668859570717978,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.01,0.25
1000,NA,0.487,0.017474793877257366,20,0.003907482700234458,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.01,0.25
1100,NA,0.51065,0.019513220889276196,20,0.004363288836839047,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.01,0.25
900,NA,0.7931,0.014639168800102504,20,0.0032734176571123227,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.02,0.25
1000,NA,0.81525,0.011285178915635052,20,0.002523442719360734,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.02,0.25
1100,NA,0.8239,0.014392615065409481,20,0.003218286566024318,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.02,0.25
900,NA,0.9136500000000001,0.014904167555630746,20,0.0033326731802437223,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.03,0.25
1000,NA,0.9257500000000001,0.011391940826280363,20,0.0025473154083218014,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.03,0.25
1100,NA,0.9349500000000001,0.0078168172281912,20,0.001747893468992701,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.03,0.25
900,NA,0.98295,0.003899730085126679,20,8.720061564244295e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.05,0.25
1000,NA,0.98605,0.0030860466961026905,20,6.900610194224251e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.05,0.25
1100,NA,0.98685,0.003048295468480362,20,6.816195883026657e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.05,0.25
900,NA,0.5327500000000001,0.017127616972535755,20,0.0038298515843169095,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.01,0.5
1000,NA,0.56225,0.021358777315685737,20,0.004775967799415379,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.01,0.5
1100,NA,0.5801999999999999,0.016507095762923155,20,0.0036910988236994926,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.01,0.5
900,NA,0.84075,0.011552511688623809,20,0.0025832201446623717,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.02,0.5
1000,NA,0.85865,0.01080582201749059,20,0.002416255258387288,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.02,0.5
1100,NA,0.87085,0.012600229738924783,20,0.002817497022835024,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.02,0.5
900,NA,0.9408,0.008420526299341041,20,0.001882886921165131,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.03,0.5
1000,NA,0.94785,0.007686454250652138,20,0.0017187434210400386,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.03,0.5
1100,NA,0.95455,0.005462551938811253,20,0.0012214637465805232,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.03,0.5
900,NA,0.99,0.004116718161479197,20,9.20526165327544e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.05,0.5
1000,NA,0.9907,0.002319255778999173,20,5.18601357905138e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.05,0.5
1100,NA,0.9928,0.0024836306192007676,20,5.55356689553281e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.05,0.5
900,NA,0.47045,0.013812561026300045,20,0.003088582539817116,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.01,0.25
1000,NA,0.5013,0.015117435037243035,20,0.003380361238871249,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.01,0.25
1100,NA,0.5188,0.016735087627339672,20,0.0037420793544147173,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.01,0.25
900,NA,0.79355,0.01694720905449749,20,0.0037895111474756326,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.02,0.25
1000,NA,0.81215,0.01104667132526447,20,0.0024701108008389045,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.02,0.25
1100,NA,0.83165,0.013788916220150002,20,0.003083295400430486,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.02,0.25
900,NA,0.9167000000000001,0.008111719916269305,20,0.0018138357147217067,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.03,0.25
1000,NA,0.9256500000000001,0.006907471164958774,20,0.001544557507746748,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.03,0.25
1100,NA,0.9391499999999999,0.008622339406570855,20,0.0019280137038167628,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.03,0.25
900,NA,0.98275,0.005838844514384499,20,0.0013056053244215487,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.05,0.25
1000,NA,0.98595,0.004465953072089462,20,9.986174653516056e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.05,0.25
1100,NA,0.98925,0.0028996370008747855,20,6.483785444029637e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.05,0.25
900,NA,0.54195,0.016259329305776542,20,0.003635696559627081,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.01,0.5
1000,NA,0.5654,0.012774975538137018,20,0.0028565713714171328,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.01,0.5
1100,NA,0.59965,0.015688665033275335,20,0.0035080921490627647,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.01,0.5
900,NA,0.8459,0.01130393503911011,20,0.002527636716069195,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.02,0.5
1000,NA,0.86215,0.013164045930608043,20,0.0029435701559769063,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.02,0.5
1100,NA,0.877,0.01007341472443811,20,0.0022524840089390924,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.02,0.5
900,NA,0.9430499999999999,0.007507715329824629,20,0.0016787761833205125,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.03,0.5
1000,NA,0.94975,0.006734631627483024,20,0.0015059094122472083,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.03,0.5
1100,NA,0.95865,0.00573332823337187,20,0.0012820111667138279,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.03,0.5
900,NA,0.9898,0.0026076809620810618,20,5.830951894845306e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.05,0.5
1000,NA,0.99255,0.0026650762801367213,20,5.959291727607981e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.05,0.5
1100,NA,0.99265,0.002680828622881957,20,5.994515036791204e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.05,0.5
900,0.05,1.5000000000000001e-4,3.6634754853252327e-4,20,8.191780219091253e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1000,0.05,9.999999999999999e-5,3.077935056255461e-4,20,6.88247201611685e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1100,0.05,2.5e-4,4.4426165831931924e-4,20,9.933992677987827e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
900,0.1,0.06570000000000001,0.027088743049466138,20,0.006057227088363123,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1000,0.1,0.10675,0.022383911045306865,20,0.005005194669961452,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1100,0.1,0.15845,0.022236705075878015,20,0.0049722784145277855,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
900,0.15,0.7231,0.030355611637631955,20,0.006787721112032876,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1000,0.15,0.7831,0.03832533860186192,20,0.008569806237446,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1100,0.15,0.8585,0.02731010994601008,20,0.006106726231227164,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
900,0.18,0.9446,0.017875004600661874,20,0.003996972538520143,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1000,0.18,0.9718,0.007756830606158141,20,0.0017344800525320502,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1100,0.18,0.98325,0.0058568448484612795,20,0.0013096303214828874,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
900,0.2,0.98665,0.005499042978938297,20,0.0012296233912098976,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1000,0.2,0.9951,0.0034625819389886717,20,7.7425685932417e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
1100,0.2,0.99765,0.0016944180805158306,20,3.788834010338109e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000,NA,NA
900,0.05,6.000000000000001e-4,0.0012732056517228264,20,2.846974386589162e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1000,0.05,5.5e-4,8.870412083230167e-4,20,1.9834844406538173e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1100,0.05,3.999999999999999e-4,0.001187655806953123,20,2.65567911821955e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
900,0.1,0.1816,0.026440399710331637,20,0.005912253110456729,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1000,0.1,0.2431,0.04134183557150133,20,0.009244315465249585,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1100,0.1,0.3322,0.0413656353689108,20,0.009249637261735414,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
900,0.15,0.8432,0.03313227080085295,20,0.00740860097596386,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1000,0.15,0.9005500000000001,0.02259360645473803,20,0.005052083988967226,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1100,0.15,0.9361,0.010472520432566626,20,0.0023417267582974475,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
900,0.18,0.9727,0.007363494593708822,20,0.001646527446348512,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1000,0.18,0.98875,0.004689012913744554,20,0.001048495162250718,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1100,0.18,0.99455,0.0032359005904970205,20,7.235693688783047e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
900,0.2,0.99535,0.0018994459025837276,20,4.2472901577606583e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1000,0.2,0.99825,0.0015174424466672112,20,3.393104462691483e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
1100,0.2,0.9991,0.0012096106376585998,20,2.704771612111496e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000,NA,NA
900,NA,0.55825,0.015134050141459472,20,0.0033840764891193685,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.01,0.25
1000,NA,0.58114999999999994,0.012478507839270573,20,0.002790279178637302,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.01,0.25
1100,NA,0.6049,0.014549009732986182,20,0.0032532574768263166,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.01,0.25
900,NA,0.85905,0.010806796107323545,20,0.0024164730714955557,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.02,0.25
1000,NA,0.8714999999999999,0.00983281295084555,20,0.0021986838168130945,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.02,0.25
1100,NA,0.88345,0.010200490184299976,20,0.0022808989455914102,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.02,0.25
900,NA,0.9482499999999999,0.0073260530049664915,20,0.0016381552525871678,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.03,0.25
1000,NA,0.95605,0.006345118305893875,20,0.0014188115857257009,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.03,0.25
1100,NA,0.96205,0.006886103473854547,20,0.0015397795467636212,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.03,0.25
900,NA,0.9904,0.00323468049345478,20,7.232965468857451e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.05,0.25
1000,NA,0.9924499999999999,0.0026252819397462636,20,5.870308877375152e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.05,0.25
1100,NA,0.99305,0.003363503812207868,20,7.52102316667648e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.05,0.25
900,NA,0.62375,0.015365288974280902,20,0.0034357830640420113,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.01,0.5
1000,NA,0.6529,0.018549790749280863,20,0.0041478593083788765,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.01,0.5
1100,NA,0.6793,0.014334720455115794,20,0.003205340937609564,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.01,0.5
900,NA,0.89845,0.009133368549042118,20,0.0020422832939216797,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.02,0.5
1000,NA,0.90805,0.011250614018331353,20,0.002515713773360097,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.02,0.5
1100,NA,0.9215500000000001,0.01035412452778322,20,0.0023152526291621185,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.02,0.5
900,NA,0.9652999999999999,0.006705064857019816,20,0.0014992980813841217,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.03,0.5
1000,NA,0.9713999999999999,0.0052655783907823205,20,0.001177419122264322,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.03,0.5
1100,NA,0.97555,0.004706937768644789,20,0.0010525032816550925,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.03,0.5
900,NA,0.9947,0.0018381913307436355,20,4.110320771193568e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.05,0.5
1000,NA,0.9966,0.00153554379189983,20,3.433580301115811e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.05,0.5
1100,NA,0.99635,0.0021095023109729007,20,4.716990566028306e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.05,0.5
900,NA,0.60935,0.010683361387050238,20,0.002388872228964077,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.01,0.25
1000,NA,0.6335,0.017379661434531683,20,0.003886210439354435,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.01,0.25
1100,NA,0.66105,0.013371119702749786,20,0.0029898732590635303,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.01,0.25
900,NA,0.88635,0.01109895680256768,20,0.0024818021889875044,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.02,0.25
1000,NA,0.9023,0.010568573075023206,20,0.002363204782092587,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.02,0.25
1100,NA,0.9085000000000001,0.00919668132363089,20,0.002056440460704141,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.02,0.25
900,NA,0.96155,0.006500809666171557,20,0.0014536252322347315,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.03,0.25
1000,NA,0.96855,0.006336818062552752,20,0.0014169555948916467,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.03,0.25
1100,NA,0.97055,0.004628004003091572,20,0.0010348531551053902,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.03,0.25
900,NA,0.99385,0.002207046132634965,20,4.935105182049799e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.05,0.25
1000,NA,0.9952,0.0022849622823099196,20,5.109330989268046e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.05,0.25
1100,NA,0.9961,0.0018609561775433747,20,4.1612245161351535e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.05,0.25
900,NA,0.6788000000000001,0.013414838602713088,20,0.0029996491022854757,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.01,0.5
1000,NA,0.71015,0.017020962308128672,20,0.003806002876343743,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.01,0.5
1100,NA,0.7283999999999999,0.012428320799477985,20,0.0027790570153807307,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.01,0.5
900,NA,0.92035,0.010609206528194979,20,0.002372290698437851,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.02,0.5
1000,NA,0.9267000000000001,0.0062920166627409985,20,0.001406937697345024,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.02,0.5
1100,NA,0.9396,0.00817827674552012,20,0.0018287182741788734,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.02,0.5
900,NA,0.97575,0.004951076437981632,20,0.001107094347712445,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.03,0.5
1000,NA,0.981,0.005231483637805973,20,0.0011697953037312044,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.03,0.5
1100,NA,0.98175,0.003092861049850806,20,6.915847552427767e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.03,0.5
900,NA,0.996,0.0012565617248750875,20,2.809757434745084e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.05,0.5
1000,NA,0.9969,0.001832455930395629,20,4.097496026137249e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.05,0.5
1100,NA,0.9972,0.0019894458366193617,20,4.448536128234833e-4,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.05,0.5
